
0it [00:00, ?it/s]----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/hi_l/plik_lite/plik_lite_v22_TTTEEE.clik' on test data. got -292.286 expected -292.286 (diff -3.86223e-09)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/low_l/commander/commander_dx12_v3_2_29.clik' on test data. got -11.6257 expected -11.6257 (diff 1.02746e-06)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/low_l/simall/simall_100x143_offlike5_EE_Aplanck_B.clik' on test data. got -197.99 expected -197.99 (diff -4.1778e-08)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/lensing/smicadx12_Dec5_ftl_mv2_ndclpp_p_teb_consext8.clik_lensing' on test data. got -4.42102
----

1it [07:15, 435.35s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  0.398 | loglstar: -198200.515 | logz: -198206.734 +/-  0.158 | dlogz:    inf >  0.300]
2it [07:17, 180.25s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 2 | eff(%):  0.794 | loglstar: -160994.219 | logz: -161000.441 +/-  0.158 | dlogz: 196480.552 >  0.300]
 75%|███████▌  | 3/4 [07:18<01:38, 98.76s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 3 | eff(%):  1.186 | loglstar: -157418.507 | logz: -157424.734 +/-  0.158 | dlogz: 159274.256 >  0.300]
 80%|████████  | 4/5 [07:20<01:00, 60.55s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 4 | eff(%):  1.575 | loglstar: -151632.349 | logz: -151638.579 +/-  0.158 | dlogz: 155698.544 >  0.300]
 83%|████████▎ | 5/6 [07:22<00:39, 39.35s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 5 | eff(%):  1.961 | loglstar: -113337.579 | logz: -113343.814 +/-  0.158 | dlogz: 149912.386 >  0.300]
 86%|████████▌ | 6/7 [07:24<00:26, 26.59s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 6 | eff(%):  2.344 | loglstar: -110101.374 | logz: -110107.612 +/-  0.158 | dlogz: 111617.616 >  0.300]
 88%|████████▊ | 7/8 [07:26<00:18, 18.46s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 7 | eff(%):  2.724 | loglstar: -92293.113 | logz: -92299.356 +/-  0.158 | dlogz: 108381.411 >  0.300]  
 89%|████████▉ | 8/9 [07:27<00:13, 13.12s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 8 | eff(%):  3.101 | loglstar: -88597.786 | logz: -88604.033 +/-  0.158 | dlogz: 90573.150 >  0.300] 
 90%|█████████ | 9/10 [07:29<00:09,  9.54s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 9 | eff(%):  3.475 | loglstar: -88484.613 | logz: -88490.863 +/-  0.158 | dlogz: 86877.823 >  0.300]
 91%|█████████ | 10/11 [07:31<00:07,  7.10s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 10 | eff(%):  3.846 | loglstar: -85330.261 | logz: -85336.516 +/-  0.158 | dlogz: 86764.649 >  0.300]
  8%|▊         | 11/138 [07:32<11:35,  5.48s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 11 | eff(%):  4.215 | loglstar: -82962.971 | logz: -82969.229 +/-  0.158 | dlogz: 83610.298 >  0.300]
  8%|▊         | 12/159 [07:34<10:37,  4.34s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 12 | eff(%):  4.580 | loglstar: -82035.260 | logz: -82041.523 +/-  0.158 | dlogz: 81243.007 >  0.300]
  7%|▋         | 13/180 [07:36<09:55,  3.57s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 13 | eff(%):  4.943 | loglstar: -78931.961 | logz: -78938.228 +/-  0.158 | dlogz: 80315.297 >  0.300]
