fold,n_test,raw_decisions,raw_accuracy,accepted_decisions,pending_decisions,accepted_coverage,accepted_reference_accuracy,accepted_true_reference,accepted_false_reference,false_acceptance_rate_among_accepted,pending_fraction
1,114,114,0.9385964912280702,91,23,0.7982456140350878,1.0,91,0,0.0,0.20175438596491227
2,114,114,0.9649122807017544,90,24,0.7894736842105263,1.0,90,0,0.0,0.21052631578947367
3,114,114,0.9736842105263158,95,19,0.8333333333333334,0.9894736842105263,94,1,0.010526315789473684,0.16666666666666666
4,114,114,0.9122807017543859,82,32,0.7192982456140351,0.9878048780487805,81,1,0.012195121951219513,0.2807017543859649
5,113,113,0.9734513274336283,86,27,0.7610619469026548,1.0,86,0,0.0,0.23893805309734514
