scenario,n_batches,n_traj_per_batch,raw_to_vste_reversal_probability,crossing_to_vste_reversal_probability,retained_to_vste_reversal_probability,mean_vste_ratio_b_over_a,mean_ppv_a,mean_ppv_b,mean_tpr_a,mean_tpr_b
Matched HMM/Gaussian reference,4.0,3000.0,0.0,1.0,0.0,3.422407918471931,0.6178975743445191,0.8717366594170713,0.375051467214608,0.8362946793073835
"HSMM truth, HMM filter",4.0,3000.0,0.0,1.0,0.0,6.560157734891398,0.5625301649189403,0.8758313820056567,0.3809040390235508,0.8433924367743186
Student-t observation noise,4.0,3000.0,0.0,1.0,0.0,3.0612707753829973,0.6556864962540786,0.874438193531567,0.4900167515290842,0.815213096911701
Time-drifting transition rates,4.0,3000.0,0.0,1.0,0.0,3.3769475923223267,0.6188065621015016,0.8748749374569437,0.3795921870597748,0.8415964685814334
5 percent reference-label error,4.0,3000.0,0.0,1.0,0.0,3.4785781992620737,0.5931185890168903,0.8336168311825387,0.24524677437262055,0.8147201435037161
