pair_id,n_batches,raw_vste_discordance,crossing_vste_discordance,retained_vste_discordance,mean_vste_ratio_b_over_a,a_p01,a_p10,a_sigma,a_domain_valid_prob,b_p01,b_p10,b_sigma,b_domain_valid_prob
0,5,0.0,1.0,0.0,0.24919925388806397,0.041300490084819286,0.0769576137893388,0.3022933706779753,0.6976867270260811,0.018216341521448385,0.10894782341873357,0.3708349835469508,0.6378872880719058
1,5,0.6,0.4,0.2,0.9999589063144084,0.1441135251373376,0.07229723734407018,0.2648712731121256,0.9421674618926852,0.13631148464525683,0.03658646341955684,0.21130600150315243,0.9432926052264089
2,5,0.0,0.0,0.0,0.3505796442393621,0.026283523727473838,0.14148643885557538,0.15359688203162478,0.9383973156513729,0.024179274458409263,0.18629052328174564,0.15609458566763398,0.6431898737053247
3,5,0.0,0.0,0.0,2.626792202620761,0.010285843851659178,0.15672896489324414,0.305891308620556,0.9124136980198821,0.11747249491090285,0.2006333878878943,0.5433370875015611,0.865812558954958
4,5,1.0,1.0,1.0,0.8735298371558374,0.04168066822245926,0.1922946893584599,0.2629648704387309,0.9056978959153046,0.11465568933265068,0.2303674603826097,0.3147683170036793,0.6897390435616383
5,5,0.0,0.0,0.0,6.142025993341887,0.034791971299829166,0.12120699464484139,0.3411491748508782,0.685115766645282,0.14929329059289903,0.04053598720973766,0.3429980167193865,0.8322684818383862
6,5,0.0,0.0,0.0,61.47293975775103,0.014869444617304352,0.21667716761173794,0.5026905881925364,0.8607377036487628,0.08132884121176066,0.10730327565871761,0.5102748810554862,0.916084195776496
7,5,1.0,0.0,1.0,1.0469918416457975,0.1367111035010421,0.06734600150395108,0.1883576136408263,0.7714080782599142,0.11847031120937035,0.0445285991700446,0.3737969867921846,0.8256653806207179
8,5,0.0,0.0,0.0,0.6480683808896103,0.14944863923644927,0.1588937684991392,0.23261007336273135,0.8492869798333064,0.02943897906019695,0.04260106239331772,0.1737585808128376,0.7160373318299964
9,5,0.0,0.0,0.0,0.14883775637661373,0.08127916198311727,0.06342474594389255,0.5374070738721618,0.774650198306648,0.07010238571945408,0.2347190401472657,0.3952932749561503,0.9351969431156508
10,5,0.0,1.0,0.0,0.43399470011232083,0.046631458219558816,0.09559277455944264,0.28514503685857473,0.7425137019395385,0.08346571214298545,0.23216301269626252,0.31898615104310896,0.7382855084377087
11,5,0.0,1.0,0.0,0.7896700329239252,0.11056626733168647,0.21992525155100492,0.15687679087869827,0.6440872308535645,0.05487826721759736,0.140829122325314,0.5179557933511013,0.9083140487004419
12,5,0.0,0.0,0.0,0.5383459330111382,0.055563030810889584,0.09140204980102856,0.20317414780160567,0.8791680590841741,0.03738566505171405,0.12555456081158609,0.16916005892590666,0.9426210026363631
13,5,0.0,0.0,0.0,4.68680738143894,0.017451478656631676,0.13954720360622686,0.22903555533937445,0.9318468484987481,0.12308556586337632,0.059088743465561276,0.3995977919324644,0.7701544051932921
14,5,0.0,1.0,0.0,2.692000857230863,0.09283980662894153,0.2064926023039729,0.17422991583819875,0.8521776394723926,0.08339914528067163,0.034144806255151997,0.27742920487755884,0.9222721499501493
15,5,0.0,0.0,0.0,11.508164485887082,0.013965091648877138,0.20876454669423913,0.4464138236892194,0.6137445138002788,0.07283871408513558,0.1826334400059242,0.516263302542044,0.8405797347515372
16,5,0.0,1.0,0.0,6.729652977443228,0.09670857467720306,0.23691568058415308,0.4126721052647309,0.6300037397186004,0.07011587269632069,0.04184798581207456,0.47877667618114783,0.6092126112536205
17,5,0.0,1.0,0.0,4.556118273178732,0.1302203899113283,0.24766870207875172,0.46933326859460084,0.6097554479486246,0.1302045470585899,0.17325696857151296,0.17103029514481344,0.6569480953359533
18,5,0.0,1.0,0.0,0.23396115486151162,0.14200366176422993,0.1380542509478667,0.3041162787743223,0.8633615849185854,0.10677011211010098,0.2240136209648763,0.38265951197165354,0.6944970565515909
19,5,0.0,0.0,0.0,1.3422803416393552,0.08150263005087147,0.12873656783800236,0.15189166007546384,0.6971489982055337,0.12808690866970754,0.07881526683831708,0.36254690180707366,0.6356586188668119
20,5,0.0,1.0,0.0,3.4553915168873366,0.04393479344118111,0.11077090741919034,0.48280594799794846,0.837598442368042,0.11832705237890517,0.043602655474066325,0.2855346902400169,0.6255847182514352
21,5,1.0,1.0,0.0,2.6421898935635486,0.07021001776935837,0.2411179878568095,0.4712275698799267,0.6499519033942286,0.030767157761320902,0.11945031208839157,0.43758288378489757,0.6193510476626987
22,5,0.0,1.0,0.0,6.8007152047733745,0.043700651767765115,0.2061154639438932,0.39392344125917583,0.7795570115237495,0.06622618383708233,0.09148045058359035,0.35639782419363003,0.8705090077801857
23,5,0.0,1.0,0.0,0.5098590490270143,0.06080340688806532,0.03664026877747426,0.4032601741648411,0.8779152721867192,0.11220291589654223,0.11723598645002968,0.363818851848735,0.609234621982805
24,5,0.6,0.6,0.6,0.9986896006136564,0.1401503384471859,0.14345887895515314,0.5226819192195434,0.6536208755411324,0.1226792888732316,0.21870750920673912,0.2666414063552495,0.9415745228478174
25,5,0.0,1.0,0.0,0.6715350170436281,0.07070377694527856,0.03100124236437567,0.17135184644484583,0.6945958879736424,0.12851454499330242,0.14004670962791538,0.37838694589633953,0.6460125272740181
26,5,0.0,1.0,0.0,0.04740898209618706,0.1280635771557374,0.07637668057036988,0.24521150383919949,0.6873044593015104,0.03251521850353274,0.162554952767565,0.5459937736324217,0.6477707884808377
27,5,0.0,0.0,0.0,3.037623318575822,0.0482952760421584,0.12432689097751669,0.5205942100262663,0.6185265772843814,0.13222166286821685,0.14448733239438552,0.5401267522453539,0.7654175828119092
28,5,0.0,0.0,0.0,1.1177149749472088,0.02840372917323864,0.1820844898320691,0.3793078100546096,0.7652527580442269,0.04575418799401706,0.1981205034315748,0.39099585585287955,0.6985371865435475
29,5,1.0,1.0,0.0,0.4587232828398859,0.024818848542277623,0.11761711224638814,0.37295836036637753,0.7787152071543121,0.04347631529856034,0.1551167189469585,0.5407671949025162,0.7426537549138247
