
0it [00:00, ?it/s]
1it [53:11, 3191.08s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  0.398 | loglstar: -228589.590 | logz: -228595.808 +/-  0.158 | dlogz:    inf >  0.300]
2it [53:24, 1321.69s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 2 | eff(%):  0.794 | loglstar: -144580.868 | logz: -144587.090 +/-  0.158 | dlogz: 226567.861 >  0.300]
  3%|▎         | 28/859 [58:01<2:57:10, 12.79s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 28 | eff(%): 10.072 | loglstar: -41056.644 | logz: -41062.970 +/-  0.159 | dlogz: 40788.196 >  0.300]
  4%|▍         | 29/743 [58:13<2:30:03, 12.61s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 29 | eff(%): 10.394 | loglstar: -39175.303 | logz: -39181.633 +/-  0.159 | dlogz: 39034.915 >  0.300]
  5%|▍         | 30/627 [58:22<1:52:59, 11.36s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 30 | eff(%): 10.714 | loglstar: -38848.195 | logz: -38854.530 +/-  0.159 | dlogz: 37153.574 >  0.300]
  5%|▌         | 31/588 [58:35<1:49:30, 11.80s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 31 | eff(%): 11.032 | loglstar: -37002.723 | logz: -37009.062 +/-  0.159 | dlogz: 36826.467 >  0.300]
  6%|▋         | 32/505 [58:49<1:39:26, 12.62s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 32 | eff(%): 11.348 | loglstar: -35278.466 | logz: -35284.808 +/-  0.159 | dlogz: 34980.995 >  0.300]
  8%|▊         | 33/434 [58:59<1:18:27, 11.74s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 33 | eff(%): 11.661 | loglstar: -34939.423 | logz: -34945.770 +/-  0.159 | dlogz: 33256.737 >  0.300]
  8%|▊         | 34/404 [59:17<1:24:21, 13.68s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 35 | eff(%): 11.930 | loglstar: -34691.509 | logz: -34697.859 +/-  0.159 | dlogz: 32917.695 >  0.300]
  9%|▉         | 35/399 [59:30<1:22:40, 13.63s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 36 | eff(%): 12.238 | loglstar: -34569.004 | logz: -34575.358 +/-  0.159 | dlogz: 32669.780 >  0.300]
  8%|▊         | 36/424 [59:39<1:19:03, 12.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 37 | eff(%): 12.544 | loglstar: -34250.725 | logz: -34257.083 +/-  0.159 | dlogz: 32547.275 >  0.300]
  8%|▊         | 37/470 [59:48<1:20:21, 11.13s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 38 | eff(%): 12.847 | loglstar: -34054.444 | logz: -34060.807 +/-  0.159 | dlogz: 32228.996 >  0.300]
  7%|▋         | 38/568 [59:59<1:36:42, 10.95s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 39 | eff(%): 13.149 | loglstar: -33816.839 | logz: -33823.206 +/-  0.159 | dlogz: 32032.716 >  0.300]
  6%|▌         | 39/707 [1:00:08<1:55:32, 10.38s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 40 | eff(%): 13.448 | loglstar: -33719.587 | logz: -33725.957 +/-  0.159 | dlogz: 31795.111 >  0.300]
  5%|▍         | 40/880 [1:00:26<2:59:13, 12.80s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 42 | eff(%): 13.699 | loglstar: -33273.428 | logz: -33279.802 +/-  0.160 | dlogz: 31697.858 >  0.300]
  3%|▎         | 41/1238 [1:00:37<4:02:54, 12.18s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 43 | eff(%): 13.993 | loglstar: -33059.744 | logz: -33066.122 +/-  0.160 | dlogz: 31251.699 >  0.300]
  3%|▎         | 42/1614 [1:00:46<4:52:38, 11.17s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 44 | eff(%): 14.286 | loglstar: -32998.768 | logz: -33005.150 +/-  0.160 | dlogz: 31038.015 >  0.300]
  3%|▎         | 43/1677 [1:00:56<4:54:37, 10.82s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 45 | eff(%): 14.576 | loglstar: -32592.322 | logz: -32598.708 +/-  0.160 | dlogz: 30977.039 >  0.300]
  3%|▎         | 44/1618 [1:01:04<4:28:27, 10.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 46 | eff(%): 14.865 | loglstar: -32499.435 | logz: -32505.826 +/-  0.160 | dlogz: 30570.593 >  0.300]
  3%|▎         | 45/1611 [1:01:42<8:02:25, 18.48s/it, batch: 0 | bound: 0 | nc: 3 | ncall: 49 | eff(%): 15.050 | loglstar: -31686.028 | logz: -31692.422 +/-  0.160 | dlogz: 30477.707 >  0.300]
  3%|▎         | 46/1435 [1:01:51<6:00:42, 15.58s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 50 | eff(%): 15.333 | loglstar: -31615.320 | logz: -31621.718 +/-  0.160 | dlogz: 29664.299 >  0.300]
  3%|▎         | 47/1345 [1:02:00<4:55:30, 13.66s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 51 | eff(%): 15.615 | loglstar: -31176.002 | logz: -31182.404 +/-  0.160 | dlogz: 29593.591 >  0.300]
  4%|▍         | 48/1240 [1:02:10<4:05:51, 12.38s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 52 | eff(%): 15.894 | loglstar: -30193.607 | logz: -30200.013 +/-  0.160 | dlogz: 29154.273 >  0.300]
  5%|▍         | 49/1034 [1:02:21<3:19:05, 12.13s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 53 | eff(%): 16.172 | loglstar: -30135.702 | logz: -30142.112 +/-  0.160 | dlogz: 28171.878 >  0.300]
  5%|▌         | 50/968 [1:02:34<3:07:11, 12.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 54 | eff(%): 16.447 | loglstar: -29985.659 | logz: -29992.074 +/-  0.160 | dlogz: 28113.973 >  0.300] 
  6%|▌         | 51/925 [1:03:41<6:58:25, 28.72s/it, batch: 0 | bound: 0 | nc: 5 | ncall: 59 | eff(%): 16.505 | loglstar: -29973.784 | logz: -29980.202 +/-  0.160 | dlogz: 27963.931 >  0.300]
  6%|▌         | 52/942 [1:03:50<5:39:11, 22.87s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 60 | eff(%): 16.774 | loglstar: -29259.698 | logz: -29266.120 +/-  0.160 | dlogz: 27952.055 >  0.300]
  6%|▌         | 53/939 [1:04:08<5:15:35, 21.37s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 62 | eff(%): 16.987 | loglstar: -29048.634 | logz: -29055.060 +/-  0.160 | dlogz: 27237.969 >  0.300]
  6%|▌         | 54/955 [1:04:30<5:25:12, 21.66s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 64 | eff(%): 17.197 | loglstar: -28898.222 | logz: -28904.652 +/-  0.160 | dlogz: 27026.905 >  0.300]
  5%|▌         | 55/1050 [1:04:39<4:55:44, 17.83s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 65 | eff(%): 17.460 | loglstar: -28678.701 | logz: -28685.135 +/-  0.160 | dlogz: 26876.493 >  0.300]
  5%|▌         | 56/1094 [1:05:05<5:50:31, 20.26s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 67 | eff(%): 17.666 | loglstar: -28603.006 | logz: -28609.444 +/-  0.160 | dlogz: 26656.972 >  0.300]
  5%|▍         | 57/1253 [1:05:15<5:42:16, 17.17s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 68 | eff(%): 17.925 | loglstar: -28444.331 | logz: -28450.773 +/-  0.160 | dlogz: 26581.277 >  0.300]
  4%|▍         | 58/1467 [1:05:26<5:59:12, 15.30s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 69 | eff(%): 18.182 | loglstar: -28081.226 | logz: -28087.672 +/-  0.160 | dlogz: 26422.602 >  0.300]
  4%|▍         | 59/1398 [1:05:47<6:20:11, 17.04s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 71 | eff(%): 18.380 | loglstar: -27976.006 | logz: -27982.456 +/-  0.160 | dlogz: 26059.497 >  0.300]
  4%|▍         | 60/1428 [1:05:56<5:30:04, 14.48s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 72 | eff(%): 18.634 | loglstar: -27643.561 | logz: -27650.016 +/-  0.161 | dlogz: 25954.277 >  0.300]
  4%|▍         | 61/1442 [1:06:04<4:51:18, 12.66s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 73 | eff(%): 18.885 | loglstar: -27417.608 | logz: -27424.067 +/-  0.161 | dlogz: 25621.833 >  0.300]
  4%|▍         | 62/1557 [1:06:13<4:45:51, 11.47s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 74 | eff(%): 19.136 | loglstar: -27396.926 | logz: -27403.388 +/-  0.161 | dlogz: 25395.880 >  0.300]
  4%|▍         | 63/1564 [1:06:32<5:48:42, 13.94s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 76 | eff(%): 19.325 | loglstar: -27315.103 | logz: -27321.569 +/-  0.161 | dlogz: 25375.197 >  0.300]
  4%|▍         | 64/1604 [1:06:41<5:20:18, 12.48s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 77 | eff(%): 19.572 | loglstar: -26731.828 | logz: -26738.298 +/-  0.161 | dlogz: 25293.374 >  0.300]
  4%|▍         | 65/1477 [1:07:05<6:09:53, 15.72s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 79 | eff(%): 19.757 | loglstar: -26661.965 | logz: -26668.440 +/-  0.161 | dlogz: 24710.099 >  0.300]
  5%|▍         | 66/1422 [1:07:14<5:13:23, 13.87s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 80 | eff(%): 20.000 | loglstar: -26399.274 | logz: -26405.752 +/-  0.161 | dlogz: 24640.237 >  0.300]
  5%|▍         | 67/1398 [1:07:23<4:34:39, 12.38s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 81 | eff(%): 20.242 | loglstar: -26048.858 | logz: -26055.340 +/-  0.161 | dlogz: 24377.546 >  0.300]
  5%|▌         | 68/1353 [1:07:36<4:25:25, 12.39s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 82 | eff(%): 20.482 | loglstar: -25933.816 | logz: -25940.302 +/-  0.161 | dlogz: 24027.130 >  0.300]
  5%|▌         | 69/1308 [1:07:45<3:55:23, 11.40s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 83 | eff(%): 20.721 | loglstar: -25761.000 | logz: -25767.490 +/-  0.161 | dlogz: 23912.088 >  0.300]
  5%|▌         | 70/1316 [1:07:58<4:07:49, 11.93s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 84 | eff(%): 20.958 | loglstar: -25623.578 | logz: -25630.072 +/-  0.161 | dlogz: 23739.272 >  0.300]
  5%|▌         | 71/1310 [1:08:13<4:26:08, 12.89s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 85 | eff(%): 21.194 | loglstar: -25560.669 | logz: -25567.167 +/-  0.161 | dlogz: 23601.849 >  0.300]
  5%|▌         | 72/1341 [1:08:27<4:37:59, 13.14s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 86 | eff(%): 21.429 | loglstar: -25476.309 | logz: -25482.811 +/-  0.161 | dlogz: 23538.941 >  0.300]
  5%|▍         | 73/1483 [1:08:36<4:40:56, 11.96s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 87 | eff(%): 21.662 | loglstar: -25469.893 | logz: -25476.396 +/-  0.161 | dlogz: 23454.581 >  0.300]
  4%|▍         | 74/1840 [1:09:10<9:05:47, 18.54s/it, batch: 0 | bound: 0 | nc: 3 | ncall: 90 | eff(%): 21.765 | loglstar: -25429.094 | logz: -25435.604 +/-  0.161 | dlogz: 23448.161 >  0.300]
  4%|▎         | 75/2123 [1:09:23<9:40:17, 17.00s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 91 | eff(%): 21.994 | loglstar: -25139.054 | logz: -25145.568 +/-  0.161 | dlogz: 23407.365 >  0.300]
  3%|▎         | 76/2405 [1:09:32<9:23:12, 14.51s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 92 | eff(%): 22.222 | loglstar: -24847.572 | logz: -24854.090 +/-  0.161 | dlogz: 23117.325 >  0.300]
  3%|▎         | 77/2420 [1:09:45<9:11:15, 14.12s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 93 | eff(%): 22.449 | loglstar: -24790.007 | logz: -24796.529 +/-  0.161 | dlogz: 22825.843 >  0.300]
  3%|▎         | 78/2295 [1:09:55<7:54:39, 12.85s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 94 | eff(%): 22.674 | loglstar: -24408.585 | logz: -24415.111 +/-  0.161 | dlogz: 22768.278 >  0.300]
  4%|▍         | 79/1971 [1:10:07<6:34:31, 12.51s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 95 | eff(%): 22.899 | loglstar: -24323.817 | logz: -24330.347 +/-  0.161 | dlogz: 22386.856 >  0.300]
  5%|▍         | 80/1759 [1:10:15<5:15:21, 11.27s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 96 | eff(%): 23.121 | loglstar: -24250.137 | logz: -24256.671 +/-  0.162 | dlogz: 22302.088 >  0.300]
  5%|▍         | 81/1629 [1:10:36<6:02:14, 14.04s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 98 | eff(%): 23.276 | loglstar: -24140.315 | logz: -24146.853 +/-  0.162 | dlogz: 22228.409 >  0.300]
  5%|▌         | 82/1571 [1:11:15<8:55:40, 21.59s/it, batch: 0 | bound: 0 | nc: 4 | ncall: 102 | eff(%): 23.295 | loglstar: -24025.396 | logz: -24031.938 +/-  0.162 | dlogz: 22118.587 >  0.300]
  5%|▌         | 83/1561 [1:11:24<7:18:06, 17.79s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 103 | eff(%): 23.513 | loglstar: -23870.973 | logz: -23877.519 +/-  0.162 | dlogz: 22003.667 >  0.300]
  5%|▌         | 84/1626 [1:11:32<6:27:12, 15.07s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 104 | eff(%): 23.729 | loglstar: -23691.777 | logz: -23698.326 +/-  0.162 | dlogz: 21849.244 >  0.300]
  5%|▍         | 85/1766 [1:11:45<6:45:07, 14.46s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 105 | eff(%): 23.944 | loglstar: -23525.646 | logz: -23532.200 +/-  0.162 | dlogz: 21670.048 >  0.300]
  5%|▍         | 86/1844 [1:11:57<6:40:27, 13.67s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 106 | eff(%): 24.157 | loglstar: -23396.620 | logz: -23403.178 +/-  0.162 | dlogz: 21503.917 >  0.300]
  5%|▍         | 87/1842 [1:12:06<5:54:34, 12.12s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 107 | eff(%): 24.370 | loglstar: -23330.654 | logz: -23337.216 +/-  0.162 | dlogz: 21374.891 >  0.300]
  4%|▍         | 88/1978 [1:12:46<10:47:11, 20.55s/it, batch: 0 | bound: 0 | nc: 4 | ncall: 111 | eff(%): 24.377 | loglstar: -23221.980 | logz: -23228.546 +/-  0.162 | dlogz: 21308.925 >  0.300]
  5%|▍         | 89/1932 [1:13:01<9:38:23, 18.83s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 112 | eff(%): 24.586 | loglstar: -22860.085 | logz: -22866.655 +/-  0.162 | dlogz: 21200.251 >  0.300] 
  5%|▌         | 90/1745 [1:13:14<7:53:12, 17.16s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 113 | eff(%): 24.793 | loglstar: -22829.026 | logz: -22835.600 +/-  0.162 | dlogz: 20838.356 >  0.300]
  5%|▌         | 91/1708 [1:13:49<10:06:56, 22.52s/it, batch: 0 | bound: 0 | nc: 3 | ncall: 116 | eff(%): 24.863 | loglstar: -22737.737 | logz: -22744.315 +/-  0.162 | dlogz: 20807.297 >  0.300]
  5%|▌         | 92/1725 [1:14:05<9:18:19, 20.51s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 117 | eff(%): 25.068 | loglstar: -22442.314 | logz: -22448.896 +/-  0.162 | dlogz: 20716.008 >  0.300] 
  6%|▌         | 93/1663 [1:14:31<9:40:23, 22.18s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 119 | eff(%): 25.203 | loglstar: -22333.952 | logz: -22340.538 +/-  0.162 | dlogz: 20420.586 >  0.300]
  6%|▌         | 94/1637 [1:15:07<11:19:11, 26.41s/it, batch: 0 | bound: 0 | nc: 3 | ncall: 122 | eff(%): 25.269 | loglstar: -22240.429 | logz: -22247.018 +/-  0.162 | dlogz: 20312.224 >  0.300]
  6%|▌         | 95/1630 [1:15:16<9:03:22, 21.24s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 123 | eff(%): 25.469 | loglstar: -22230.773 | logz: -22237.366 +/-  0.162 | dlogz: 20218.700 >  0.300] 
  6%|▌         | 96/1690 [1:15:30<8:19:06, 18.79s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 124 | eff(%): 25.668 | loglstar: -22139.068 | logz: -22145.666 +/-  0.162 | dlogz: 20209.044 >  0.300]
  5%|▌         | 97/1779 [1:15:56<9:48:34, 21.00s/it, batch: 0 | bound: 0 | nc: 3 | ncall: 127 | eff(%): 25.729 | loglstar: -22123.638 | logz: -22130.240 +/-  0.162 | dlogz: 20117.339 >  0.300]
  5%|▍         | 98/2030 [1:16:28<13:02:27, 24.30s/it, batch: 0 | bound: 0 | nc: 3 | ncall: 130 | eff(%): 25.789 | loglstar: -22066.731 | logz: -22073.337 +/-  0.162 | dlogz: 20101.910 >  0.300]
  4%|▍         | 99/2470 [1:16:49<15:28:52, 23.51s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 132 | eff(%): 25.916 | loglstar: -22040.401 | logz: -22047.011 +/-  0.162 | dlogz: 20045.002 >  0.300]
  4%|▎         | 100/2771 [1:17:32<21:45:25, 29.32s/it, batch: 0 | bound: 0 | nc: 4 | ncall: 136 | eff(%): 25.907 | loglstar: -21997.950 | logz: -22004.564 +/-  0.162 | dlogz: 20018.672 >  0.300]
  3%|▎         | 101/3406 [1:17:51<24:04:44, 26.23s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 138 | eff(%): 26.031 | loglstar: -21943.557 | logz: -21950.175 +/-  0.163 | dlogz: 19976.221 >  0.300]
  2%|▏         | 102/4525 [1:18:10<29:24:10, 23.93s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 140 | eff(%): 26.154 | loglstar: -21861.044 | logz: -21867.666 +/-  0.163 | dlogz: 19921.829 >  0.300]
  2%|▏         | 103/4786 [1:18:36<31:50:29, 24.48s/it, batch: 0 | bound: 0 | nc: 2 | ncall: 142 | eff(%): 26.276 | loglstar: -21805.519 | logz: -21812.145 +/-  0.163 | dlogz: 19839.315 >  0.300]
  2%|▏         | 104/4753 [1:18:49<27:09:51, 21.03s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 143 | eff(%): 26.463 | loglstar: -21771.273 | logz: -21777.903 +/-  0.163 | dlogz: 19783.791 >  0.300]
  2%|▏         | 105/4566 [1:18:59<22:06:48, 17.85s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 144 | eff(%): 26.650 | loglstar: -21662.132 | logz: -21668.766 +/-  0.163 | dlogz: 19749.544 >  0.300]
  2%|▏         | 106/4312 [1:19:12<19:07:49, 16.37s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 145 | eff(%): 26.835 | loglstar: -21647.413 | logz: -21654.051 +/-  0.163 | dlogz: 19640.403 >  0.300]
  3%|▎         | 107/4090 [1:19:20<15:23:11, 13.91s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 146 | eff(%): 27.020 | loglstar: -21646.358 | logz: -21652.471 +/-  0.151 | dlogz: 19625.684 >  0.300]
  3%|▎         | 108/4235 [1:19:29<14:09:55, 12.36s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 147 | eff(%): 27.204 | loglstar: -21602.374 | logz: -21609.020 +/-  0.163 | dlogz: 19624.100 >  0.300]
  3%|▎         | 109/4359 [1:19:37<13:06:54, 11.11s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 148 | eff(%): 27.387 | loglstar: -21440.832 | logz: -21447.482 +/-  0.163 | dlogz: 19580.646 >  0.300]
  3%|▎         | 110/4087 [1:19:46<11:28:51, 10.39s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 149 | eff(%): 27.569 | loglstar: -21277.790 | logz: -21284.444 +/-  0.163 | dlogz: 19419.103 >  0.300]
  3%|▎         | 111/3576 [1:19:55<9:39:22, 10.03s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 150 | eff(%): 27.750 | loglstar: -20992.697 | logz: -20999.355 +/-  0.163 | dlogz: 19256.062 >  0.300] 
  4%|▍         | 112/2773 [1:20:03<6:57:03,  9.40s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 151 | eff(%): 27.930 | loglstar: -20951.289 | logz: -20957.950 +/-  0.163 | dlogz: 18970.969 >  0.300]
  5%|▍         | 113/2361 [1:20:12<5:45:56,  9.23s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 152 | eff(%): 28.109 | loglstar: -20808.827 | logz: -20815.493 +/-  0.163 | dlogz: 18929.560 >  0.300]
